File, Size (Bytes)
GCST90179150_buildGRCh37.tsv.grlz_xz-10000, 220782602
GCST90179150_buildGRCh37.tsv.grlz_zstd-2000, 248286901
GCST90179150_buildGRCh37.tsv.grlz.idx_bz2_2000, 80145
GCST90179150_buildGRCh37.tsv.grlz.idx_zlib-map, 939215
GCST90179150_buildGRCh37.tsv.grlz.idx_xz-20000, 7759
GCST90179150_buildGRCh37.tsv.grlz_fpfvb-5000, 327704663
GCST90179150_buildGRCh37.tsv.grlz_xz-20000, 217516725
GCST90179150_buildGRCh37.tsv.grlz.idx_deflate-2000, 80335
GCST90179150_buildGRCh37.tsv.grlz_zlib-map, 273602761
GCST90179150_buildGRCh37.tsv.grlz.idx_zlib-2000, 80333
GCST90179150_buildGRCh37.tsv.grlz.idx_xz-10000, 15555
GCST90179150_buildGRCh37.tsv.grlz.idx_deflate-10000, 15603
GCST90179150_buildGRCh37.tsv.grlz_xz-5000, 224974961
GCST90179150_buildGRCh37.tsv.grlz.idx_fpfvb-5000, 31623
GCST90179150_buildGRCh37.tsv.grlz.idx_deflate-20000, 7783
GCST90179150_buildGRCh37.tsv.grlz.idx_xz-5000, 31430
GCST90179150_buildGRCh37.tsv.grlz_zlib-20000, 257797627
GCST90179150_buildGRCh37.tsv.grlz_deflate-5000, 263304970
GCST90179150_buildGRCh37.tsv.grlz_bz2-20000, 228602767
GCST90179150_buildGRCh37.tsv.grlz_zlib-5000, 263155959
GCST90179150_buildGRCh37.tsv.grlz.idx_zstd-5000, 31493
GCST90179150_buildGRCh37.tsv.grlz_zlib-10000, 259668069
GCST90179150_buildGRCh37.tsv.grlz_bz2-10000, 230674197
GCST90179150_buildGRCh37.tsv.grlz.idx_zlib-20000, 7783
GCST90179150_buildGRCh37.tsv.grlz_bz2-2000, 234763319
GCST90179150_buildGRCh37.tsv.grlz.idx_zlib-10000, 15603
GCST90179150_buildGRCh37.tsv.grlz_bz2-5000, 232542874
GCST90179150_buildGRCh37.tsv.grlz.idx_bz2-5000, 31450
GCST90179150_buildGRCh37.tsv.gz, 281435510
GCST90179150_buildGRCh37.tsv.grlz.idx_zstd-2000, 80223
GCST90179150_buildGRCh37.tsv.grlz_fpfvb-20000, 322297333
GCST90179150_buildGRCh37.tsv.grlz_deflate-10000, 259742580
GCST90179150_buildGRCh37.tsv.grlz_fpfvb-10000, 324179108
GCST90179150_buildGRCh37.tsv.grlz.idx_xz-2000, 80128
GCST90179150_buildGRCh37.tsv.grlz_deflate-20000, 257834931
GCST90179150_buildGRCh37.tsv.grlz_deflate-2000, 269840680
GCST90179150_buildGRCh37.tsv.grlz.idx_zstd_10000, 15592
GCST90179150_buildGRCh37.tsv.grlz_zlib-2000, 269468438
GCST90179150_buildGRCh37.tsv.grlz_xz-2000, 232307217
GCST90179150_buildGRCh37.tsv.grlz_zstd-10000, 249722576
GCST90179150_buildGRCh37.tsv.grlz.idx_fpfvb-2000, 80580
GCST90179150_buildGRCh37.tsv.grlz.idx_fpfvb-20000, 7811
GCST90179150_buildGRCh37.tsv.grlz_zstd-20000, 248160929
GCST90179150_buildGRCh37.tsv.grlz.idx_fpfvb-10000, 15655
GCST90179150_buildGRCh37.tsv.grlz_fpfvb-2000, 334367079
GCST90179150_buildGRCh37.tsv, 687912887
GCST90179150_buildGRCh37.tsv.grlz.idx_deflate-5000, 31520
GCST90179150_buildGRCh37.tsv.query, 320
GCST90179150_buildGRCh37.tsv.grlz.idx_zlib-5000, 31519
GCST90179150_buildGRCh37.tsv.grlz.idx_bz2-20000, 7767
GCST90179150_buildGRCh37.tsv.grlz.idx_zstd-20000, 7778
GCST90179150_buildGRCh37.tsv.grlz_zstd-5000, 250231411
GCST90179150_buildGRCh37.tsv.grlz.idx_bz2-10000, 15570
